listing_id,date_scraped,date_posted,title,estate,district,floor,size_sqft,rooms,price,unit_price,sold_price,views,source,url
39fa0d5cda05,2026-04-29,,,,,,,,,,,,ricacorp.com,https://www.ricacorp.com/en-hk/property/list/buy/the-long-beach-estate-olympic-station-hma-en
8c641a5f76e0,2026-04-29,,,,,,,,$350萬,,,,ricacorp.com,https://www.ricacorp.com/en-hk/property/detail/tin-shui-wai-hma-yoho-west-phase-1-tower-3b-cm75201072-3-en
7278c679db4c,2026-04-29,,Ricacorp Hot Estates,Ricacorp Hot Estates,,,,,,,,,ricacorp.com,https://www.ricacorp.com/en-hk/property/estate/the-long-beach-estate-olympic-station-hma-en
4d5370f938f1,2026-04-29,,環宇海灣 5座,環宇海灣 5座,荃灣西,11年樓齡 · 向東北,"722呎 @ $14,542 /呎",9分鐘,"1,050萬萬","@ $14,542 /呎",,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E7%92%B0%E5%AE%87%E6%B5%B7%E7%81%A3-5%E5%BA%A7_CYF124?theme=buy
62ad5226be68,2026-04-29,,御凱 2座,御凱 2座,荃灣西,17年樓齡 · 向西南 · 75% 實用率,"947呎 @ $22,175 /呎",7分鐘,"2,100萬萬","@ $22,175 /呎",,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E5%BE%A1%E5%87%B1-2%E5%BA%A7_CRL108?theme=buy
de5d15463e54,2026-05-01,,御凱 2座,御凱 2座,荃灣,高層,,4,"HKD 2,100",,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E5%BE%A1%E5%87%B1-2%E5%BA%A7_CRL108
708799390e61,2026-05-01,,環宇海灣 5座,環宇海灣 5座,荃灣,低層,,3,"HKD 1,050",,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E7%92%B0%E5%AE%87%E6%B5%B7%E7%81%A3-5%E5%BA%A7_CYF124
30d785e60300,2026-05-01,17 小時前,四房抵買盤！更筍向南海景煙花四房1327呎3300萬,匯璽,南昌,低層,1254,4,,,,,28hse.com,https://www.28hse.com/buy/apartment/property-3829407
4da0ebe1cc8e,2026-05-01,21 小時前,超值實惠 核心地段 特高樓底,海峯,深水埗,高層,978,4,,,,,28hse.com,https://www.28hse.com/buy/apartment/property-3828832
9370c0434b06,2026-05-01,12 小時前,"5543O82O. 超靚正南海景. 時尚裝修. 拎包入住. 莫失機會,—傾即成",一號銀海,奧運,低層,969,3,,,,,28hse.com,https://www.28hse.com/buy/apartment/property-3829681
fb195acb205d,2026-05-01,13 小時前,免佣金 全新單位 多個車位 只此一間 任你還價 大膽還價,山水盈,元朗,,2101,,,,,,28hse.com,https://www.28hse.com/buy/apartment/property-3829607
792a62038c72,2026-05-01,14 小時前,《獨家真盤》有匙即睇 超筍獨立屋 勁筍呎價@8000 比票即成交 業主爽快,尚築,元朗,,1986,3,,,,,28hse.com,https://www.28hse.com/buy/apartment/property-3829590
a2c7ada7fef5,2026-05-01,17 小時前,９９８萬！三房套連天台！歡迎約睇！,原築,元朗,高層,978,3,,,,,28hse.com,https://www.28hse.com/buy/apartment/property-3829288
b34900e16bb8,2026-05-01,8 分鐘前,錦繡花園，闊車路出入方便、可泊3-4車.雅致裝修拿包入住.,錦繡花園,元朗,,1035,3,"HKD 14,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3829922
773e5244703b,2026-05-01,16 分鐘前,［元朗］地下+花園+車位。5分鐘。1條直路市中心［村屋］,村屋,元朗,地下,1000,,"HKD 4,690,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3829909
