listing_id,date_scraped,date_posted,title,estate,district,floor,size_sqft,rooms,price,unit_price,sold_price,views,source,url
8c641a5f76e0,2026-04-29,,,,,,,,$350萬,,,,ricacorp.com,https://www.ricacorp.com/en-hk/property/detail/tin-shui-wai-hma-yoho-west-phase-1-tower-3b-cm75201072-3-en
59a166d0684a,2026-04-29,,Grand Yoho 2期 5座,Grand Yoho 2期 5座,元朗站,9年樓齡 · 向南,789呎 @ $44 /呎,1分鐘,"35,000萬",@ $44 /呎,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/Grand-Yoho-2%E6%9C%9F-5%E5%BA%A7_CVX967?theme=rent
2ec7a044dbc4,2026-05-01,,Grand Yoho 2期 5座,Grand Yoho 2期 5座,元朗,高層,,3,"HKD 35,000",@$44/呎,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/Grand-Yoho-2%E6%9C%9F-5%E5%BA%A7_CVX967
757cf4132c4e,2026-05-01,23 小時前,《優質靚裝》近大欖700尺中層,村屋,元朗,中層,700,2,"HKD 11,800",@$16.9/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3828632
5f7ccd219c72,2026-05-01,,租：全屋新裝天水圍近市地下入車花園可寵物【步行輕鐵商場】,村屋,元朗,地下,700,3,"HKD 14,500",@$20.7/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3826920
01b8f8cb76be,2026-05-01,,【地下３房套】【約700呎花園】【PETS FRIENDLY】,村屋,元朗,地下,700,３,"HKD 13,000",@$18.6/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3826533
63bd184190b3,2026-05-02,,GRAND YOHO 2期 5座,GRAND YOHO 2期 5座,元朗,高層,,3,"HKD 35,000",@$44/呎,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/GRAND-YOHO-2%E6%9C%9F-5%E5%BA%A7_CVX967
a87a2c3fd5d8,2026-05-03,16 小時前,巨兩房*全元朗之最*適合鍾意空間感的你*有村巴*有會所,溱柏,元朗,中層,643,,"HKD 16,800",@$26.1/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3831827
fa328ba9ce6c,2026-05-03,17 小時前,最平3房套!包差餉地租管理費!只有一間 先到先得,The YOHO Hub,元朗,中層,643,3,"HKD 25,800",@$40.1/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3831768
84a9da3984ed,2026-05-05,9 小時前,新樓【步行Yoho ｜地下大花園3房2廁】,村屋,元朗,地下,700,3,"HKD 15,500",@$22.1/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3834856
7b0648b3bdaf,2026-05-06,21 小時前,不用搶洗手間啦喂,溱柏,元朗,中層,643,2,"HKD 14,800",,,,28hse.com,https://www.28hse.com/rent/apartment/property-3835275
173e1561994d,2026-05-07,9 小時前,《車泊樓下超方便》《可叉電》大棠700尺中層,村屋,元朗,中層,700,3,"HKD 12,000",@$17.1/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3837894
502d1f1b3716,2026-05-08,14 小時前,【全新裝修】【可寵地下入車】,村屋,元朗,地下,700,3,"HKD 14,800",@$21.1/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3839126
aa01e26a34b4,2026-05-08,20 小時前,近西鐵交通超方便 分層新樓層層都有,村屋,元朗,,700,3,"HKD 12,800",@$18.3/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3729391
f0f780b821a4,2026-05-09,12 小時前,天水圍北!!樓齡新靚裝~地下連入車花園,村屋,元朗,地下,700,3,"HKD 14,500",@$20.7/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3840880
7fec29655d4e,2026-05-16,17 小時前,【免佣！拎包即住！住得舒適又不失品味！】,聯昇樓,元朗,高層,700,,"HKD 2,980",@$4.3/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3845843
53f66e24f518,2026-05-16,,元朗南【白沙村】企理新裝!!內複樓梯!!3樓連有頂天台,村屋,元朗,頂層,700,3,"HKD 12,800",@$18.3/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3846330
e06f8b6a5e7c,2026-05-16,,可小貓小狗僑興路3房2廁連天台$12800,村屋,元朗,高層,700,3,"HKD 12,800",@$18.3/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3844659
8e655a42c804,2026-05-16,,錦上路【石湖塘】樓齡新靚裝!!中層+露台,村屋,元朗,中層,700,3,"HKD 13,000",@$18.6/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3842558
3fef55e80ce3,2026-05-16,,筍筍筍1400呎大棠村屋 可養小貓咪,村屋,元朗,高層,700,3,"HKD 12,000",@$17.1/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3842367
439fdd9f56b6,2026-05-16,,全新靚靚700呎大棠村屋 可養小貓小狗,村屋,元朗,中層,700,3,"HKD 12,500",@$17.9/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3842314
7dd32fff5d23,2026-05-23,16 小時前,*大屋苑* 尚悅 3房套+工人房 743尺 盡快約睇 罕有放盤 只求好租客,尚悅,元朗,中層,743,3,"HKD 20,800",@$20.5/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3859254
67703e8d778d,2026-05-23,20 小時前,元朗近市全新村屋,欖口村,元朗,地下,650,2,"HKD 13,500",@$20.8/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3858595
6c4c26c7a642,2026-05-23,23 小時前,罕有三房套 鐵路0距離,朗城滙,元朗,高層,736,3,"HKD 28,000",,,,28hse.com,https://www.28hse.com/rent/apartment/property-3858312
2254a75b4a56,2026-05-23,,【步行Yoho 】梗廚3房｜可養貓狗｜約睇,村屋,元朗,中層,700,3,"HKD 14,000",,,,28hse.com,https://www.28hse.com/rent/apartment/property-3855417
7c0f13d229f8,2026-05-30,13 小時前,步行朗屏西鐵!!樓齡新靚裝!!車泊樓下~內複樓梯!!3樓連有頂天台,村屋,元朗,頂層,700,3,"HKD 15,800",@$22.6/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3867988
21497e291cc8,2026-05-30,,#特色繽紛小全幢 全新裝修 筍租#可一小寵物 可泊一車,村屋,元朗,,800,3,"HKD 19,500",@$24.4/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3865002
4a450dca8501,2026-05-30,,步行錦上路西鐵!!樓齡新靚裝~中層+露台,村屋,元朗,中層,700,3,"HKD 17,500",,,,28hse.com,https://www.28hse.com/rent/apartment/property-3863436
83f6e1d6180a,2026-06-06,6 小時前,《你至得寵》元朗700尺地下花園,村屋,元朗,地下,700,3,"HKD 13,500",@$19.3/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3878512
d8c92c211038,2026-06-06,16 小時前,知你所想! 乜都有齊! 三樓連天台! 10500元!,村屋,元朗,高層,700,2,"HKD 10,500",,,,28hse.com,https://www.28hse.com/rent/apartment/property-3878114
6eb9b778808a,2026-06-06,22 小時前,頂級大型屋苑對面西鐵站超市免佣,地利黃金閣,元朗,中層,670,,"HKD 14,000",@$20.9/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3876965
a443e0013fd0,2026-06-13,,尚豪庭 1座,尚豪庭 1座,元朗,,,2,"HKD 26,500",@$30/呎,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E5%B0%9A%E8%B1%AA%E5%BA%AD-1%E5%BA%A7_CQW354
