listing_id,date_scraped,date_posted,title,estate,district,floor,size_sqft,rooms,price,unit_price,sold_price,views,source,url
39fa0d5cda05,2026-04-29,,,,,,,,,,,,ricacorp.com,https://www.ricacorp.com/en-hk/property/list/buy/the-long-beach-estate-olympic-station-hma-en
7278c679db4c,2026-04-29,,Ricacorp Hot Estates,Ricacorp Hot Estates,,,,,,,,,ricacorp.com,https://www.ricacorp.com/en-hk/property/estate/the-long-beach-estate-olympic-station-hma-en
eb13a091ee57,2026-04-29,,浪澄灣 9座,浪澄灣 9座,奧運站,21年樓齡 · 向西南 · 76% 實用率,845呎 @ $56 /呎,8分鐘,"48,000萬",@ $56 /呎,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E6%B5%AA%E6%BE%84%E7%81%A3-9%E5%BA%A7_UAG263?theme=rent
0618192306ce,2026-05-01,,浪澄灣 9座,浪澄灣 9座,奧運,高層,,3,"HKD 48,000",@$56/呎,,,hk.centanet.com,https://hk.centanet.com/findproperty/detail/%E6%B5%AA%E6%BE%84%E7%81%A3-9%E5%BA%A7_UAG263
60cb38e811d7,2026-05-01,,深水埗地鐵站3分鐘，新裝修，方便乾淨企理，歡迎在職人士，學生，各大地產代理合作,森明唐樓,深水埗,低層,1000,,"HKD 6,500",@$6.5/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3821660
808a5dab76fc,2026-05-01,,【匯璽】4房 最平這間 !!!,匯璽,南昌,低層,1221,4,"HKD 68,000",@$55.7/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3814438
55aeccc0c3b9,2026-05-08,15 小時前,南昌站上蓋匯璽4房雙套罕有放盤,匯璽,南昌,低層,1254,4,"HKD 65,000",@$51.8/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3839116
ee2442edc619,2026-05-16,19 小時前,《東南開揚美景 歡迎查詢《優質實用四房兩套+工人套,瓏璽,奧運,中層,1003,4,"HKD 55,000",@$43.2/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3849554
61c03dde44b0,2026-05-23,,業主誠意推介 煙花海景 三房企理即住,維港灣,奧運,中層,911,3,"HKD 50,000",@$41.2/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3856109
c734712cb332,2026-05-23,,業主誠意推介 罕有放盤 煙花海景,帝峰皇殿,奧運,高層,1438,4,"HKD 85,000",@$45.2/呎,,,28hse.com,https://www.28hse.com/rent/apartment/property-3856048
